date,city,province,country,lat/long,confirmed,recovered,dead,daily_diff_confirm,daily_diff_recover,daily_diff_dead
1/22/20,,,Thailand,"15,101",2,0,0,-1,-1,-1
1/23/20,,,Thailand,"15,101",3,0,0,1,0,0
1/24/20,,,Thailand,"15,101",5,0,0,2,0,0
1/25/20,,,Thailand,"15,101",7,0,0,2,0,0
1/26/20,,,Thailand,"15,101",8,2,0,1,2,0
1/27/20,,,Thailand,"15,101",8,2,0,0,0,0
1/28/20,,,Thailand,"15,101",14,5,0,6,3,0
1/29/20,,,Thailand,"15,101",14,5,0,0,0,0
1/30/20,,,Thailand,"15,101",14,5,0,0,0,0
1/31/20,,,Thailand,"15,101",19,5,0,5,0,0
2/1/20,,,Thailand,"15,101",19,5,0,0,0,0
2/2/20,,,Thailand,"15,101",19,5,0,0,0,0
2/3/20,,,Thailand,"15,101",19,5,0,0,0,0
2/4/20,,,Thailand,"15,101",25,5,0,6,0,0
2/5/20,,,Thailand,"15,101",25,5,0,0,0,0
2/6/20,,,Thailand,"15,101",25,5,0,0,0,0
2/7/20,,,Thailand,"15,101",25,5,0,0,0,0
2/8/20,,,Thailand,"15,101",32,10,0,7,5,0
2/9/20,,,Thailand,"15,101",32,10,0,0,0,0
2/10/20,,,Thailand,"15,101",32,10,0,0,0,0
2/11/20,,,Thailand,"15,101",33,10,0,1,0,0
2/12/20,,,Thailand,"15,101",33,10,0,0,0,0
2/13/20,,,Thailand,"15,101",33,12,0,0,2,0
2/14/20,,,Thailand,"15,101",33,12,0,0,0,0
2/15/20,,,Thailand,"15,101",33,12,0,0,0,0
2/16/20,,,Thailand,"15,101",34,14,0,1,2,0
2/17/20,,,Thailand,"15,101",35,15,0,1,1,0
2/18/20,,,Thailand,"15,101",35,15,0,0,0,0
2/19/20,,,Thailand,"15,101",35,15,0,0,0,0
2/20/20,,,Thailand,"15,101",35,15,0,0,0,0
2/21/20,,,Thailand,"15,101",35,17,0,0,2,0
2/22/20,,,Thailand,"15,101",35,17,0,0,0,0
2/23/20,,,Thailand,"15,101",35,21,0,0,4,0
2/24/20,,,Thailand,"15,101",35,21,0,0,0,0
2/25/20,,,Thailand,"15,101",37,22,0,2,1,0
2/26/20,,,Thailand,"15,101",40,22,0,3,0,0
2/27/20,,,Thailand,"15,101",40,22,0,0,0,0
2/28/20,,,Thailand,"15,101",41,28,0,1,6,0
2/29/20,,,Thailand,"15,101",42,28,0,1,0,0
3/1/20,,,Thailand,"15,101",42,28,1,0,0,1
3/2/20,,,Thailand,"15,101",43,31,1,1,3,0
3/3/20,,,Thailand,"15,101",43,31,1,0,0,0
3/4/20,,,Thailand,"15,101",43,31,1,0,0,0
3/5/20,,,Thailand,"15,101",47,31,1,4,0,0
3/6/20,,,Thailand,"15,101",48,31,1,1,0,0
3/7/20,,,Thailand,"15,101",50,31,1,2,0,0
3/8/20,,,Thailand,"15,101",50,31,1,0,0,0
3/9/20,,,Thailand,"15,101",50,31,1,0,0,0
3/10/20,,,Thailand,"15,101",53,33,1,3,2,0
3/11/20,,,Thailand,"15,101",59,34,1,6,1,0
3/12/20,,,Thailand,"15,101",70,34,1,11,0,0
1/22/20,,,Japan,"36,138",2,0,0,-1,-1,-1
1/23/20,,,Japan,"36,138",1,0,0,-1,0,0
1/24/20,,,Japan,"36,138",2,0,0,1,0,0
1/25/20,,,Japan,"36,138",2,0,0,0,0,0
1/26/20,,,Japan,"36,138",4,1,0,2,1,0
1/27/20,,,Japan,"36,138",4,1,0,0,0,0
1/28/20,,,Japan,"36,138",7,1,0,3,0,0
1/29/20,,,Japan,"36,138",7,1,0,0,0,0
1/30/20,,,Japan,"36,138",11,1,0,4,0,0
1/31/20,,,Japan,"36,138",15,1,0,4,0,0
2/1/20,,,Japan,"36,138",20,1,0,5,0,0
2/2/20,,,Japan,"36,138",20,1,0,0,0,0
2/3/20,,,Japan,"36,138",20,1,0,0,0,0
2/4/20,,,Japan,"36,138",22,1,0,2,0,0
2/5/20,,,Japan,"36,138",22,1,0,0,0,0
2/6/20,,,Japan,"36,138",45,1,0,23,0,0
2/7/20,,,Japan,"36,138",25,1,0,-20,0,0
2/8/20,,,Japan,"36,138",25,1,0,0,0,0
2/9/20,,,Japan,"36,138",26,1,0,1,0,0
2/10/20,,,Japan,"36,138",26,4,0,0,3,0
2/11/20,,,Japan,"36,138",26,9,0,0,5,0
2/12/20,,,Japan,"36,138",28,9,0,2,0,0
2/13/20,,,Japan,"36,138",28,9,1,0,0,1
2/14/20,,,Japan,"36,138",29,9,1,1,0,0
2/15/20,,,Japan,"36,138",43,12,1,14,3,0
2/16/20,,,Japan,"36,138",59,12,1,16,0,0
2/17/20,,,Japan,"36,138",66,12,1,7,0,0
2/18/20,,,Japan,"36,138",74,13,1,8,1,0
2/19/20,,,Japan,"36,138",84,18,1,10,5,0
2/20/20,,,Japan,"36,138",94,18,1,10,0,0
2/21/20,,,Japan,"36,138",105,22,1,11,4,0
2/22/20,,,Japan,"36,138",122,22,1,17,0,0
2/23/20,,,Japan,"36,138",147,22,1,25,0,0
2/24/20,,,Japan,"36,138",159,22,1,12,0,0
2/25/20,,,Japan,"36,138",170,22,1,11,0,0
2/26/20,,,Japan,"36,138",189,22,2,19,0,1
2/27/20,,,Japan,"36,138",214,22,4,25,0,2
2/28/20,,,Japan,"36,138",228,22,4,14,0,0
2/29/20,,,Japan,"36,138",241,32,5,13,10,1
3/1/20,,,Japan,"36,138",256,32,6,15,0,1
3/2/20,,,Japan,"36,138",274,32,6,18,0,0
3/3/20,,,Japan,"36,138",293,43,6,19,11,0
3/4/20,,,Japan,"36,138",331,43,6,38,0,0
3/5/20,,,Japan,"36,138",360,43,6,29,0,0
3/6/20,,,Japan,"36,138",420,46,6,60,3,0
3/7/20,,,Japan,"36,138",461,76,6,41,30,0
3/8/20,,,Japan,"36,138",502,76,6,41,0,0
3/9/20,,,Japan,"36,138",511,76,10,9,0,4
3/10/20,,,Japan,"36,138",581,101,10,70,25,0
3/11/20,,,Japan,"36,138",639,118,15,58,17,5
3/12/20,,,Japan,"36,138",639,118,16,0,0,1
1/22/20,,,Singapore,"1.2833,103.8333",0,0,0,-1,-1,-1
1/23/20,,,Singapore,"1.2833,103.8333",1,0,0,1,0,0
1/24/20,,,Singapore,"1.2833,103.8333",3,0,0,2,0,0
1/25/20,,,Singapore,"1.2833,103.8333",3,0,0,0,0,0
1/26/20,,,Singapore,"1.2833,103.8333",4,0,0,1,0,0
1/27/20,,,Singapore,"1.2833,103.8333",5,0,0,1,0,0
1/28/20,,,Singapore,"1.2833,103.8333",7,0,0,2,0,0
1/29/20,,,Singapore,"1.2833,103.8333",7,0,0,0,0,0
1/30/20,,,Singapore,"1.2833,103.8333",10,0,0,3,0,0
1/31/20,,,Singapore,"1.2833,103.8333",13,0,0,3,0,0
2/1/20,,,Singapore,"1.2833,103.8333",16,0,0,3,0,0
2/2/20,,,Singapore,"1.2833,103.8333",18,0,0,2,0,0
2/3/20,,,Singapore,"1.2833,103.8333",18,0,0,0,0,0
2/4/20,,,Singapore,"1.2833,103.8333",24,0,0,6,0,0
2/5/20,,,Singapore,"1.2833,103.8333",28,0,0,4,0,0
2/6/20,,,Singapore,"1.2833,103.8333",28,0,0,0,0,0
2/7/20,,,Singapore,"1.2833,103.8333",30,0,0,2,0,0
2/8/20,,,Singapore,"1.2833,103.8333",33,2,0,3,2,0
2/9/20,,,Singapore,"1.2833,103.8333",40,2,0,7,0,0
2/10/20,,,Singapore,"1.2833,103.8333",45,2,0,5,0,0
2/11/20,,,Singapore,"1.2833,103.8333",47,9,0,2,7,0
2/12/20,,,Singapore,"1.2833,103.8333",50,15,0,3,6,0
2/13/20,,,Singapore,"1.2833,103.8333",58,15,0,8,0,0
2/14/20,,,Singapore,"1.2833,103.8333",67,17,0,9,2,0
2/15/20,,,Singapore,"1.2833,103.8333",72,18,0,5,1,0
2/16/20,,,Singapore,"1.2833,103.8333",75,18,0,3,0,0
2/17/20,,,Singapore,"1.2833,103.8333",77,24,0,2,6,0
2/18/20,,,Singapore,"1.2833,103.8333",81,29,0,4,5,0
2/19/20,,,Singapore,"1.2833,103.8333",84,34,0,3,5,0
2/20/20,,,Singapore,"1.2833,103.8333",84,34,0,0,0,0
2/21/20,,,Singapore,"1.2833,103.8333",85,37,0,1,3,0
2/22/20,,,Singapore,"1.2833,103.8333",85,37,0,0,0,0
2/23/20,,,Singapore,"1.2833,103.8333",89,51,0,4,14,0
2/24/20,,,Singapore,"1.2833,103.8333",89,51,0,0,0,0
2/25/20,,,Singapore,"1.2833,103.8333",91,53,0,2,2,0
2/26/20,,,Singapore,"1.2833,103.8333",93,62,0,2,9,0
