,country,countrystd,date,date1,date2,lat,lon,text,source,alltext
0,Mexico,Mexico,14.02.2020,2020-02-14,20200214,23.949171210463575,-102.53030785548168," As of March 14, Mexico had not imposed any travel restrictions. ", NYT ,"Mexico: As of March 14, Mexico had not imposed any travel restrictions. Source: NYT Published on 14.02"
1,Armenia,Armenia,20.02.2020,2020-02-20,20200220,40.28813415391144,44.93230121812845," International restrictions ›Armenia has declared a 30-day state of emergency from 16 March. Foreigners arriving from or who have been to China, South Korea, Japan, Iran, Italy, France, Germany and Spain in 14 days prior to the arrival will be barred entry. The following groups of travellers are exempt ›Armenian nationals and their family members ›Permanent residents ›Foreign diplomatic staff and assignees of intergovernmental organizations, as well as their family members ›Armenian citizens and foreigners are allowed to depart by air only. ›Visa-free entry for Chinese and Iranian nationals has been suspended. ›All flights to/from Russia have been suspended until at least 30 March ›The land borders with Iran and Georgia are closed until 16 April. ›Restrictions have been imposed by Armenia Airways on travel to Iran only Iranian citizens are allowed to board the Iran-bound flight while only Armenian residents and citizens are allowed to be on Armenia-bound flights. ›Yerevan-Tel Aviv-Yerevan round trips starting from 2 March are cancelled until 22 March. ›Authorities on 9 March urged Armenian citizens to avoid travel to China, France, Germany, Iran, Italy, Japan, South Korea or Spain. Those returning from these aforementioned countries will be required to undertake a 14-day self-quarantine; those returning from Italy will be under mandatory quarantine. ", https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening ,"Armenia: International restrictions: ›Armenia has declared a 30-day state of emergency from 16 March. Foreigners arriving from or who have been to China, South Korea, Japan, Iran, Italy, France, Germany and Spain in 14 days prior to the arrival will be barred entry. The following groups of travellers are exempt: ›Armenian nationals and their family members ›Permanent residents ›Foreign diplomatic staff and assignees of intergovernmental organizations, as well as their family members ›Armenian citizens and foreigners are allowed to depart by air only. ›Visa-free entry for Chinese and Iranian nationals has been suspended. ›All flights to/from Russia have been suspended until at least 30 March ›The land borders with Iran and Georgia are closed until 16 April. ›Restrictions have been imposed by Armenia Airways on travel to Iran: only Iranian citizens are allowed to board the Iran-bound flight while only Armenian residents and citizens are allowed to be on Armenia-bound flights. ›Yerevan-Tel Aviv-Yerevan round trips starting from 2 March are cancelled until 22 March. ›Authorities on 9 March urged Armenian citizens to avoid travel to China, France, Germany, Iran, Italy, Japan, South Korea or Spain. Those returning from these aforementioned countries will be required to undertake a 14-day self-quarantine; those returning from Italy will be under mandatory quarantine. Source: https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening Published on 20.02"
2,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,24.02.2020,2020-02-24,20200224,,," Passengers who have been in China (People's Rep.), Hong Kong (SAR China), Japan, Korea (Rep.), Macao (SAR China) or Singapore in the past 14 days will not be allowed to enter St. Vincent and the Grenadines. ", https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm ,"Saint Vincent and the Grenadines: Passengers who have been in China (People's Rep.), Hong Kong (SAR China), Japan, Korea (Rep.), Macao (SAR China) or Singapore in the past 14 days will not be allowed to enter St. Vincent and the Grenadines. Source: https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm Published on 24.02"
3,Kiribati,Kiribati,04.03.2020,2020-03-04,20200304,0.6152008739219265,-51.52483396372059," 1. Passengers who have been in Australia, China (People's Rep.), Egypt, France, Germany, Italy, Japan, Korea (Rep.), Malaysia, Singapore, Spain, Thailand, USA, United Arab Emirates, United Kingdom or Viet Nam are not allowed to enter Kiribati. They must have stayed in a country with no confirmed cases of Coronavirus (COVID-19) for a period of minimum 14 days before entering Kiribati. They must provide a medical clearance to confirm that they are free from the Coronavirus (COVID-19). 2. Passengers must fill-in a ""Health Arrival Form"" and e-tickets must be provided to the immigration at time of arrival. ", https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm ,"Kiribati: 1. Passengers who have been in Australia, China (People's Rep.), Egypt, France, Germany, Italy, Japan, Korea (Rep.), Malaysia, Singapore, Spain, Thailand, USA, United Arab Emirates, United Kingdom or Viet Nam are not allowed to enter Kiribati. They must have stayed in a country with no confirmed cases of Coronavirus (COVID-19) for a period of minimum 14 days before entering Kiribati. They must provide a medical clearance to confirm that they are free from the Coronavirus (COVID-19). 2. Passengers must fill-in a ""Health Arrival Form"" and e-tickets must be provided to the immigration at time of arrival. Source: https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm Published on 04.03"
4,Vanuatu,Vanuatu,09.03.2020,2020-03-09,20200309,-16.201267919694917,167.70084414094217," 1. Passengers must complete an Incoming Passenger Health Declaration Form before boarding. 2. Passengers who have been in China (People's Rep.), Chinese Taipei, Hong Kong (SAR China), Iran, Italy, Japan, Korea (Rep.), Macau (SAR China) or Singapore in the past 14 days are not allowed to enter Vanuatu. - This does not apply to nationals of Vanuatu. - This does not apply to residents of Vanuatu. 3. Passengers who have transited through or have been in China (People's Rep.), Chinese Taipei, Hong Kong (SAR China), Iran, Italy, Japan, Korea (Rep.), Macau (SAR China) or Singapore since 31 December 2019 but who have spent the previous 14 days outside of China (People's Rep.), Chinese Taipei, Hong Kong (SAR China), Iran, Italy, Japan, Korea (Rep.), Macau (SAR China) or Singapore must complete the medical certificate from a registered medical practitioner certifying that they are free from any respiratory illness suspected of Coronavirus (COVID-19). 4. Nationals and residents of Vanuatu who have been away in any other country excluding China (People's Rep.), within the last 2 months, can transit through Hong Kong (SAR China) or Singapore to Vanuatu if the transit time is not more than 8 hours. They must stay in the airport terminal. 5. Nationals and residents of Vanuatu transiting for more than eight hours in Hong Kong (SAR China) or Singapore or have left the terminal must be self-quarantined for 14 days outside of Vanuatu before traveling into the country. ", https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm ,"Vanuatu: 1. Passengers must complete an Incoming Passenger Health Declaration Form before boarding. 2. Passengers who have been in China (People's Rep.), Chinese Taipei, Hong Kong (SAR China), Iran, Italy, Japan, Korea (Rep.), Macau (SAR China) or Singapore in the past 14 days are not allowed to enter Vanuatu. - This does not apply to nationals of Vanuatu. - This does not apply to residents of Vanuatu. 3. Passengers who have transited through or have been in China (People's Rep.), Chinese Taipei, Hong Kong (SAR China), Iran, Italy, Japan, Korea (Rep.), Macau (SAR China) or Singapore since 31 December 2019 but who have spent the previous 14 days outside of China (People's Rep.), Chinese Taipei, Hong Kong (SAR China), Iran, Italy, Japan, Korea (Rep.), Macau (SAR China) or Singapore must complete the medical certificate from a registered medical practitioner certifying that they are free from any respiratory illness suspected of Coronavirus (COVID-19). 4. Nationals and residents of Vanuatu who have been away in any other country excluding China (People's Rep.), within the last 2 months, can transit through Hong Kong (SAR China) or Singapore to Vanuatu if the transit time is not more than 8 hours. They must stay in the airport terminal. 5. Nationals and residents of Vanuatu transiting for more than eight hours in Hong Kong (SAR China) or Singapore or have left the terminal must be self-quarantined for 14 days outside of Vanuatu before traveling into the country. Source: https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm Published on 09.03"
5,Turkmenistan,Turkmenistan,10.03.2020,2020-03-10,20200310,39.115933881994884,59.37596062559676," 1. Nationals of Afghanistan, Australia, Bahrain, Belgium, Cambodia, Canada, China (People's Rep.), Croatia, Finland, France, Georgia, Germany, India, Iran, Iraq, Israel, Italy, Japan, Korea (Rep.), Kuwait, Libya, Malaysia, Nepal, North Macedonia (Rep.), Norway, Oman, Pakistan, Philippines, Russian Fed., Singapore, Spain, Sri Lanka, Sweden, Thailand, USA, United Arab Emirates and Viet Nam are not allowed to enter Turkmenistan. 2. Passengers with a British passport are not allowed to enter Turkmenistan. 3. Passengers with a Chinese Taipei (on the cover Republic of China Taiwan) passport are not allowed to enter Turkmenistan. 4. Passengers with a Hong Kong (SAR China) passport are not allowed to enter Turkmenistan. 5. Passengers with a Macao (SAR China) passport are not allowed to enter Turkmenistan. ", https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm ,"Turkmenistan: 1. Nationals of Afghanistan, Australia, Bahrain, Belgium, Cambodia, Canada, China (People's Rep.), Croatia, Finland, France, Georgia, Germany, India, Iran, Iraq, Israel, Italy, Japan, Korea (Rep.), Kuwait, Libya, Malaysia, Nepal, North Macedonia (Rep.), Norway, Oman, Pakistan, Philippines, Russian Fed., Singapore, Spain, Sri Lanka, Sweden, Thailand, USA, United Arab Emirates and Viet Nam are not allowed to enter Turkmenistan. 2. Passengers with a British passport are not allowed to enter Turkmenistan. 3. Passengers with a Chinese Taipei (on the cover: Republic of China Taiwan) passport are not allowed to enter Turkmenistan. 4. Passengers with a Hong Kong (SAR China) passport are not allowed to enter Turkmenistan. 5. Passengers with a Macao (SAR China) passport are not allowed to enter Turkmenistan. Source: https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm Published on 10.03"
6,Ethiopia,Ethiopia,13.03.2020,2020-03-13,20200313,8.622951735406936,39.60055108141665, All entrants from Wuhan will be quarantined. , UNHAS: (source: International SOS) ,Ethiopia: All entrants from Wuhan will be quarantined. Source: UNHAS: (source: International SOS) Published on 13.03
7,Azerbaijan,Azerbaijan,13.03.2020,2020-03-13,20200313,40.28911898662454,47.54211125964173," 1. Nationals of China (People's Rep.) with a normal passport are not allowed to enter Azerbaijan if they do not have a visa obtained before departure. 2. Nationals of Bahrain, Indonesia, Iran, Israel, Japan, Korea (Rep.), Kuwait, Malaysia, Oman, Qatar, Saudi Arabia, Singapore, UAE and USA are not allowed to enter Azerbaijan if they do not have a visa obtained before departure. 3. The issuance of e-visas and visa on arrival has been suspended. ", https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm ,"Azerbaijan: 1. Nationals of China (People's Rep.) with a normal passport are not allowed to enter Azerbaijan if they do not have a visa obtained before departure. 2. Nationals of Bahrain, Indonesia, Iran, Israel, Japan, Korea (Rep.), Kuwait, Malaysia, Oman, Qatar, Saudi Arabia, Singapore, UAE and USA are not allowed to enter Azerbaijan if they do not have a visa obtained before departure. 3. The issuance of e-visas and visa on arrival has been suspended. Source: https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm Published on 13.03"
8,Solomon Islands,Solomon Is.,15.03.2020,2020-03-15,20200315,-8.909583205357285,159.63809446287206," 1. Passengers who have transited through or have been in Austria, Bahrain, Belgium, China (People's Rep.), Chinese Taipei, Denmark, France, Germany, Greece, Hong Kong (SAR China), Indonesia, Iran, Israel, Italy, Japan, Korea (Rep.), Kuwait, Macao (SAR China), Malaysia, Netherlands, Norway, Qatar, Singapore, Spain, Sweden, Switzerland or Thailand in the past 14 days are not allowed to enter Solomon Isl. - This does not apply to nationals of Solomon Isl. 2. Passengers who have transited through or have been in Afghanistan, Algeria, Andorra, Argentina, Armenia, Australia, Azerbaijan, Bangladesh, Belarus, Bhutan, Bolivia, Bosnia and Herzegovina, Brazil, Brunei Darussalam, Bulgaria, Burkina Faso, Cambodia, Cameroon, Canada, Chile, Colombia, Congo (Dem. Rep.), Costa Rica, Cote d'Ivoire, Cyprus, Czechia, Dominican Rep., Ecuador, Egypt, Estonia, Finland, French Guiana, French Polynesia, Georgia, Gibraltar, Honduras, Hungary, Iceland, India, Ireland (Rep.), Jamaica, Jordan, Latvia, Lebanon, Liechtenstein, Lithuania, Luxembourg, Maldives, Mexico, Moldova (Rep.), Monaco, Mongolia, Morocco, Nepal, New Zealand, Nigeria, North Macedonia (Rep.), Oman, Pakistan, Palestinian Territory, Panama, Paraguay, Peru, Philippines, Poland, Portugal, Romania, Russian Fed., San Marino, Saudi Arabia, Senegal, Serbia, Sierra Leone, Slovenia, South Africa, Sri Lanka, Togo, Turkey, USA, Ukraine, United Arab Emirates, United Kingdom, Vatican City (Holy See) or Viet Nam in the past 14 days may be subject to immediate quarantine or isolation as applicable. ", IATA ,"Solomon Islands: 1. Passengers who have transited through or have been in Austria, Bahrain, Belgium, China (People's Rep.), Chinese Taipei, Denmark, France, Germany, Greece, Hong Kong (SAR China), Indonesia, Iran, Israel, Italy, Japan, Korea (Rep.), Kuwait, Macao (SAR China), Malaysia, Netherlands, Norway, Qatar, Singapore, Spain, Sweden, Switzerland or Thailand in the past 14 days are not allowed to enter Solomon Isl. - This does not apply to nationals of Solomon Isl. 2. Passengers who have transited through or have been in Afghanistan, Algeria, Andorra, Argentina, Armenia, Australia, Azerbaijan, Bangladesh, Belarus, Bhutan, Bolivia, Bosnia and Herzegovina, Brazil, Brunei Darussalam, Bulgaria, Burkina Faso, Cambodia, Cameroon, Canada, Chile, Colombia, Congo (Dem. Rep.), Costa Rica, Cote d'Ivoire, Cyprus, Czechia, Dominican Rep., Ecuador, Egypt, Estonia, Finland, French Guiana, French Polynesia, Georgia, Gibraltar, Honduras, Hungary, Iceland, India, Ireland (Rep.), Jamaica, Jordan, Latvia, Lebanon, Liechtenstein, Lithuania, Luxembourg, Maldives, Mexico, Moldova (Rep.), Monaco, Mongolia, Morocco, Nepal, New Zealand, Nigeria, North Macedonia (Rep.), Oman, Pakistan, Palestinian Territory, Panama, Paraguay, Peru, Philippines, Poland, Portugal, Romania, Russian Fed., San Marino, Saudi Arabia, Senegal, Serbia, Sierra Leone, Slovenia, South Africa, Sri Lanka, Togo, Turkey, USA, Ukraine, United Arab Emirates, United Kingdom, Vatican City (Holy See) or Viet Nam in the past 14 days may be subject to immediate quarantine or isolation as applicable. Source: IATA Published on 15.03"
9,Micronesia (Federated States of),Micronesia,15.03.2020,2020-03-15,20200315,6.967281078922664,155.26063353368312," 1. Passengers who have been in China (People's Rep.) on or after 6 January 2020, are not allowed to enter Micronesia (Federated States). - This does not apply to airline crew. - This does not apply to passengers arriving from Guam or Hawaii. They will be subject to mandatory quarantine upon arrival. 2. Passengers who have been in a country with confirmed cases of Coronavirus (COVID-19), other than China (People's Rep.), are not allowed to enter Micronesia (Federated States). They must have stayed in Guam, Hawaii or another country with no confirmed cases of Coronavirus (COVID-19) for a period of minimum 14 days before entering Micronesia (Federated States). - This does not apply to airline crew. ", https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm ,"Micronesia (Federated States of): 1. Passengers who have been in China (People's Rep.) on or after 6 January 2020, are not allowed to enter Micronesia (Federated States). - This does not apply to airline crew. - This does not apply to passengers arriving from Guam or Hawaii. They will be subject to mandatory quarantine upon arrival. 2. Passengers who have been in a country with confirmed cases of Coronavirus (COVID-19), other than China (People's Rep.), are not allowed to enter Micronesia (Federated States). They must have stayed in Guam, Hawaii or another country with no confirmed cases of Coronavirus (COVID-19) for a period of minimum 14 days before entering Micronesia (Federated States). - This does not apply to airline crew. Source: https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm Published on 15.03"
